"","sample","file","No.","Peak Name","Retention Time","Area","Height","Relative Area","Relative Height","Amount","group","inc_time","site"
"120","cri7","FID0214_cri7_100ul-nhex.xls",17,"18:0",17.9966666666667,0.809695795000003,20.4487136666667,0.807955439289859,1.10597834956068,NA,"C18",7,"intact biocrust"
"121","cri7","FID0214_cri7_100ul-nhex.xls",18,"PAIBE",18.3833333333333,19.39875477,298.004927511278,19.3570591926707,16.1177374412128,NA,"CNA",7,"intact biocrust"
"122","cri7","FID0214_cri7_100ul-nhex.xls",NA,"19:1",NA,NA,NA,NA,NA,NA,"C19",7,"intact biocrust"
"123","cri7","FID0214_cri7_100ul-nhex.xls",19,"20:4 cis 5, 8, 11, 14",20.1016666666667,1.00016558916667,23.9097779857143,0.998015838723424,1.29317165011255,NA,"C20",7,"intact biocrust"
"124","cri7","FID0214_cri7_100ul-nhex.xls",20,"20:5 cis 5, 8, 11, 14, 17",20.1983333333333,0.428388702499997,12.0160944545455,0.427467926167502,0.649896151397855,NA,"C20",7,"intact biocrust"
"125","cri7","FID0214_cri7_100ul-nhex.xls",NA,"20:3 cis 11, 14, 17",NA,NA,NA,NA,NA,NA,"C20",7,"intact biocrust"
"126","cri7","FID0214_cri7_100ul-nhex.xls",NA,"20:2 cis 11,14",NA,NA,NA,NA,NA,NA,"C20",7,"intact biocrust"
"127","cri7","FID0214_cri7_100ul-nhex.xls",21,"20:1 cis 11",20.8466666666667,0.204543885000002,6.20230200000002,0.204104239493093,0.335454436951637,NA,"C20",7,"intact biocrust"
"128","cri7","FID0214_cri7_100ul-nhex.xls",NA,"20:0",NA,NA,NA,NA,NA,NA,"C20",7,"intact biocrust"
"129","cri7","FID0214_cri7_100ul-nhex.xls",22,"21:0 (STD)",22.975,13.2395990775,179.740473164474,13.2111419557058,9.72134849654356,NA,"C21",7,"intact biocrust"
"130","cri7","FID0214_cri7_100ul-nhex.xls",NA,"22:6 cis 4, 7, 10, 13, 16, 19",NA,NA,NA,NA,NA,NA,"C22",7,"intact biocrust"
"131","cri7","FID0214_cri7_100ul-nhex.xls",NA,"22:2 cis 13, 16",NA,NA,NA,NA,NA,NA,"C22",7,"intact biocrust"
"132","cri7","FID0214_cri7_100ul-nhex.xls",NA,"22:1 cis 13",NA,NA,NA,NA,NA,NA,"C22",7,"intact biocrust"
"133","cri7","FID0214_cri7_100ul-nhex.xls",NA,"22:0",NA,NA,NA,NA,NA,NA,"C22",7,"intact biocrust"
"134","cri7","FID0214_cri7_100ul-nhex.xls",23,"23:0 (STD)",25.9716666666667,5.5794488425,88.6463029736842,5.56745640569538,4.79447722021297,NA,"C23",7,"intact biocrust"
"135","cri7","FID0214_cri7_100ul-nhex.xls",NA,"24:1 cis 15",NA,NA,NA,NA,NA,NA,"C24",7,"intact biocrust"
"136","cri7","FID0214_cri7_100ul-nhex.xls",NA,"24:0",NA,NA,NA,NA,NA,NA,"C24",7,"intact biocrust"
